地區,姓名,號次,得票數,得票率
高雄市茂林區第01選區萬山里,盧得勝,1,93,30.09%
高雄市茂林區第01選區萬山里,蔡梁玉英,2,103,33.33%
高雄市茂林區第01選區萬山里,何忠勇,3,6,1.94%
高雄市茂林區第01選區萬山里,孫佩馨,4,9,2.91%
高雄市茂林區第01選區萬山里,羅正,5,2,0.64%
高雄市茂林區第01選區萬山里,"江魯金雲 Malereleve．Maabaivi",6,11,3.55%
高雄市茂林區第01選區萬山里,金泰華,7,85,27.50%
高雄市茂林區第01選區多納里,盧得勝,1,15,3.72%
高雄市茂林區第01選區多納里,蔡梁玉英,2,25,6.20%
高雄市茂林區第01選區多納里,何忠勇,3,51,12.65%
高雄市茂林區第01選區多納里,孫佩馨,4,94,23.32%
高雄市茂林區第01選區多納里,羅正,5,94,23.32%
高雄市茂林區第01選區多納里,"江魯金雲 Malereleve．Maabaivi",6,116,28.78%
高雄市茂林區第01選區多納里,金泰華,7,8,1.98%
高雄市茂林區第02選區茂林里,田新忠,1,142,23.82%
高雄市茂林區第02選區茂林里,朱秀琴,2,47,7.88%
高雄市茂林區第02選區茂林里,"陳雅苓 Ismahasan．Wuli",3,103,17.28%
高雄市茂林區第02選區茂林里,"溫順益 Ngidrere．Pawvithki",4,38,6.37%
高雄市茂林區第02選區茂林里,"魏光保 Pusinga．Tablenga",5,123,20.63%
高雄市茂林區第02選區茂林里,陳奕蓁,6,143,23.99%
高雄市桃源區第01選區桃源里,杜曉嬛,1,5,0.88%
高雄市桃源區第01選區桃源里,謝貴奇,2,9,1.59%
高雄市桃源區第01選區桃源里,賴文德,3,39,6.89%
高雄市桃源區第01選區桃源里,王正國,4,143,25.26%
高雄市桃源區第01選區桃源里,謝宜真,5,98,17.31%
高雄市桃源區第01選區桃源里,顏金得,6,148,26.14%
高雄市桃源區第01選區桃源里,顏金菊,7,124,21.90%
高雄市桃源區第01選區高中里,杜曉嬛,1,9,2.02%
高雄市桃源區第01選區高中里,謝貴奇,2,8,1.79%
